DEPTO_REF_ID;PROVIN_REF_ID;DEPTO;NOMBDEPTO
1;1;001;Distrito Escolar I                                
2;1;002;Distrito Escolar II                               
3;1;003;Distrito Escolar III                              
4;1;004;Distrito Escolar IV                               
5;1;005;Distrito Escolar V                                
6;1;006;Distrito Escolar VI                               
7;1;007;Distrito Escolar VII                              
8;1;008;Distrito Escolar VIII                             
9;1;009;Distrito Escolar IX                               
10;1;010;Distrito Escolar I                                
11;1;011;Distrito Escolar XI                               
12;1;012;Distrito Escolar XII                              
13;1;013;Distrito Escolar XIII                             
14;1;014;Distrito Escolar XIV                              
15;1;015;Distrito Escolar XV                               
16;1;016;Distrito Escolar XVI                              
17;1;017;Distrito Escolar XVII                             
18;1;018;Distrito Escolar XVIII                            
19;1;019;Distrito Escolar XIX                              
20;1;020;Distrito Escolar XX                               
21;1;021;Distrito Escolar XXI                              
22;2;007;Adolfo Alsina                                     
23;2;014;Adolfo Gonzáles Chaves                            
24;2;021;Alberti                                           
25;2;028;Almirante Brown                                   
26;2;035;Avellaneda                                        
27;2;042;Ayacucho                                          
28;2;049;Azul                                              
29;2;056;Bahia Blanca                                      
30;2;063;Balcarce                                          
31;2;070;Baradero                                          
32;2;077;Bartolomé Mitre                                   
33;2;084;Benito Juarez                                     
34;2;091;Berazetegui                                       
35;2;098;Berisso                                           
36;2;105;Bolivar                                           
37;2;112;Bragado                                           
38;2;119;Brandsen                                          
39;2;126;Campana                                           
40;2;133;Cañuelas                                          
41;2;140;Capitan Sarmiento                                 
42;2;147;Carlos Casares                                    
43;2;154;Carlos Tejedor                                    
44;2;161;Carmen de Areco                                   
45;2;168;Castelli                                          
46;2;175;Colón                                             
47;2;182;Crnel de marina Leonardo Rosales                  
48;2;189;Crnel. Dorrego                                    
49;2;196;Crnel.Pringles                                    
50;2;203;Crnel Suarez                                      
51;2;210;Chacabuco                                         
52;2;217;Chascomus                                         
53;2;224;Chivilcoy                                         
54;2;231;Daireaux                                          
55;2;238;Dolores                                           
56;2;245;Ensenada                                          
57;2;252;Escobar                                           
58;2;259;Esteban Echeverria                                
59;2;266;Exaltación de la Cruz                             
60;2;273;Florencio Varela                                  
61;2;277;Florentino Ameghino                               
62;2;280;Gnral. Alvarado                                   
63;2;287;Gnral. Alvear                                     
64;2;294;Gnral.Arenales                                    
65;2;301;Gnral.Belgrano                                    
66;2;308;Gnral. Guido                                      
67;2;315;Gnral.Juan Madariaga                              
68;2;322;Gnral.La Madrid                                   
69;2;329;Gnral.Las Heras                                   
70;2;336;Gnral.Lavalle                                     
71;2;343;Gnral.Paz                                         
72;2;351;                                                  
73;2;357;Gnral.Pueyrredon                                  
74;2;364;Gnral.Rodriguez                                   
75;2;371;Gnral.San Martín                                  
76;2;378;Gnral.Sarmiento                                   
77;2;385;Gnral Viamonte                                    
78;2;392;Gnral Villegas                                    
79;2;399;Guamini                                           
80;2;406;Hipólito Yrigoyen                                 
81;2;413;Junín                                             
82;2;420;La Costa                                          
83;2;427;La Matanza                                        
84;2;434;Lanus                                             
85;2;441;La Plata                                          
86;2;448;La Prida                                          
87;2;455;Las Flores                                        
88;2;462;Leandro N.Alem                                    
89;2;469;Lincoln                                           
90;2;476;Lobería                                           
91;2;483;Lobos                                             
92;2;490;Lomas de Zamora                                   
93;2;497;Luján                                             
94;2;504;Magdalena                                         
95;2;511;Maipu                                             
96;2;518;Mar Chiquita                                      
97;2;525;Marcos Paz                                        
98;2;532;Mercedes                                          
99;2;539;Merlo                                             
100;2;547;Monte                                             
101;2;553;Monte Hermoso                                     
102;2;560;Moreno                                            
103;2;567;Morón                                             
104;2;574;Navarro                                           
105;2;581;Necochea                                          
106;2;588;Nueve de julio                                    
107;2;595;Olavarría                                         
108;2;602;Patagones                                         
109;2;609;Pehuajo                                           
110;2;616;Pellegrini                                        
111;2;623;Pergamino                                         
112;2;630;Pila                                              
113;2;637;Pilar                                             
114;2;644;Pinamar                                           
115;2;651;Puan                                              
116;2;658;Quilmes                                           
117;2;665;Ramallo                                           
118;2;672;Rauch                                             
119;2;679;Rivadavia                                         
120;2;686;Rojas                                             
121;2;693;Roque Pérez                                       
122;2;700;Saavedra                                          
123;2;707;Saladillo                                         
124;2;714;Salto                                             
125;2;721;Salliquelo                                        
126;2;728;San Andrés de Giles                               
127;2;735;San Antonio de Areco                              
128;2;742;San Cayetano                                      
129;2;749;San Fernando                                      
130;2;756;San Isidro                                        
131;2;763;San Nicolás                                       
132;2;770;San Pedro                                         
133;2;777;San Vicente                                       
134;2;784;Suipacha                                          
135;2;791;Tandil                                            
136;2;798;Tapalque                                          
137;2;805;Tigre                                             
138;2;812;Tordillo                                          
139;2;819;Tornquist                                         
140;2;826;Trenquelauquén                                    
141;2;833;Tres Arroyos                                      
142;2;840;Tres de Febrero                                   
143;2;847;Tres Lomas                                        
144;2;854;25 de Mayo                                        
145;2;861;Vicente López                                     
146;2;868;Villa Gesell                                      
147;2;875;Villarino                                         
148;2;882;Zárate                                            
149;3;007;Ambato                                            
150;3;014;Ancasti                                           
151;3;021;Andalgala                                         
152;3;028;Antofagasta de la Sierra                          
153;3;035;Belén                                             
154;3;042;Capayan                                           
155;3;049;Capital                                           
156;3;056;El Alto                                           
157;3;063;Fray Mamerto                                      
158;3;070;La Paz                                            
159;3;077;Paclin                                            
160;3;084;Poman                                             
161;3;091;Santa María                                       
162;3;098;Santa Rosa                                        
163;3;105;Tinogasta                                         
164;3;112;Valle Viejo                                       
165;4;007;Calamuchita                                       
166;4;014;Capital                                           
167;4;021;Colón                                             
168;4;028;Cruz del Eje                                      
169;4;035;General Roca                                      
170;4;042;General San Martín                                
171;4;049;Ischilin                                          
172;4;056;Juárez Célman                                     
173;4;063;Marcos Juárez                                     
174;4;070;Minas                                             
175;4;077;Pocho                                             
176;4;084;Pdte.Roque Saenz Peña                             
177;4;091;Punilla                                           
178;4;098;Río Cuarto                                        
179;4;105;Río Primero                                       
180;4;112;Río Seco                                          
181;4;119;Río Segundo                                       
182;4;126;San Alberto                                       
183;4;133;San Javier                                        
184;4;140;San Justo                                         
185;4;147;Santa María                                       
186;4;154;Sobremonte                                        
187;4;161;Tercero Arriba                                    
188;4;168;Totoral                                           
189;4;175;Tulumba                                           
190;4;182;Unión                                             
191;5;007;Bella Vista                                       
192;5;014;Berón de Astrada                                  
193;5;021;Capital                                           
194;5;028;Concepción                                        
195;5;035;Curuzu Cuatia                                     
196;5;042;Empedrado                                         
197;5;049;Esquina                                           
198;5;056;General Alvear                                    
199;5;063;General Paz                                       
200;5;070;Goya                                              
201;5;077;Itati                                             
202;5;084;Ituzaingo                                         
203;5;091;Lavalle                                           
204;5;098;Mburucuya                                         
205;5;105;Mercedes                                          
206;5;112;Monte Caseros                                     
207;5;119;Paso de los Libres                                
208;5;126;Saladas                                           
209;5;133;San Cosme                                         
210;5;140;San Luís del Palmar                               
211;5;147;San Martín                                        
212;5;154;San Miguel                                        
213;5;161;San Roque                                         
