RADIO_REF_ID;FRACCION_REF_ID;RADIO
1;1;01
2;1;02
3;1;03
4;1;04
5;1;05
6;1;06
7;1;07
8;1;08
9;1;09
10;1;10
11;1;11
12;1;12
13;1;13
14;1;14
15;1;15
16;2;01
17;2;02
18;2;03
19;2;04
20;2;05
21;2;06
22;3;01
23;3;02
24;3;03
25;3;04
26;3;05
27;3;06
28;4;01
29;4;02
30;4;03
31;4;04
32;4;05
33;4;06
34;4;07
35;5;01
36;5;02
37;5;03
38;5;04
39;5;05
40;5;06
41;5;07
42;5;08
43;5;09
44;6;01
45;6;02
46;6;03
47;6;04
48;6;05
49;6;07
50;6;08
51;6;09
52;6;10
53;6;11
54;6;12
55;6;14
56;7;01
57;7;02
58;7;03
59;7;04
60;7;05
61;7;06
62;7;07
63;7;08
64;7;09
65;7;10
66;7;11
67;7;12
68;7;13
69;8;01
70;8;02
71;8;03
72;8;05
73;8;07
74;8;08
75;9;01
76;9;02
77;9;03
78;9;04
79;9;05
80;9;06
81;9;07
82;9;08
83;10;01
84;10;02
85;10;03
86;10;04
87;10;05
88;10;06
89;10;07
90;10;08
91;10;09
92;11;01
93;11;02
94;11;03
95;11;04
96;11;05
97;11;06
98;11;07
99;11;08
100;12;01
101;12;02
102;12;03
103;12;04
104;12;05
105;12;06
106;12;07
107;12;08
108;12;09
109;12;10
110;12;11
111;13;01
112;13;02
113;13;03
114;13;04
115;13;05
116;13;06
117;13;08
118;14;01
119;14;02
120;14;03
121;14;04
122;14;05
123;14;06
124;14;07
125;14;08
126;14;09
127;14;10
128;15;01
129;15;02
130;15;03
131;15;04
132;15;05
133;15;06
134;15;07
135;15;08
136;16;01
137;16;02
138;16;03
139;16;04
140;16;05
141;16;06
142;16;07
143;16;08
144;16;09
145;17;01
146;17;02
147;17;03
148;17;04
149;17;05
150;17;06
151;17;07
152;18;01
153;18;02
154;18;03
155;18;04
156;18;05
157;18;06
158;18;07
159;18;08
160;19;01
161;19;03
162;19;04
163;19;05
164;19;06
165;19;07
166;19;08
167;20;01
168;20;02
169;20;03
170;20;04
171;20;05
172;20;06
173;20;07
174;20;08
175;20;09
176;21;01
177;21;02
178;21;03
179;21;04
180;21;05
181;21;07
182;21;08
183;21;09
184;22;01
185;22;02
186;22;03
187;22;04
188;22;05
189;22;06
190;22;07
191;22;08
192;22;09
193;22;10
194;23;01
195;23;02
196;23;03
197;23;04
198;23;05
199;23;06
