RADIO_REF_ID;FRAC_REF_ID;IDRADIO
1;1;01
2;1;02
3;1;03
4;1;04
5;1;05
6;1;06
7;1;07
8;1;08
9;1;09
10;1;10
11;1;11
12;1;12
13;1;13
14;1;14
15;1;15
16;2;01
17;2;02
18;2;03
19;2;04
20;2;05
21;2;06
22;3;01
23;3;02
24;3;03
25;3;04
26;3;05
27;3;06
28;4;01
29;4;02
30;4;03
31;4;04
32;4;05
33;4;06
34;4;07
35;5;01
36;5;02
37;5;03
38;5;04
39;5;05
40;5;06
41;5;07
42;5;08
43;5;09
44;6;01
45;6;02
46;6;03
47;6;04
48;6;05
49;6;06
50;6;07
51;6;08
52;6;09
53;6;10
54;6;11
55;6;12
56;6;13
57;6;14
58;7;01
59;7;02
60;7;03
61;7;04
62;7;05
63;7;06
64;7;07
65;7;08
66;7;09
67;7;10
68;7;11
69;7;12
70;7;13
71;8;01
72;8;02
73;8;03
74;8;04
75;8;05
76;8;06
77;8;07
78;8;08
79;9;01
80;9;02
81;9;03
82;9;04
83;9;05
84;9;06
85;9;07
86;9;08
87;10;01
88;10;02
89;10;03
90;10;04
91;10;05
92;10;06
93;10;07
94;10;08
95;10;09
96;11;01
97;11;02
98;11;03
99;11;04
100;11;05
101;11;06
102;11;07
103;11;08
104;12;01
105;12;02
106;12;03
107;12;04
108;12;05
109;12;06
110;12;07
111;12;08
112;12;09
113;12;10
114;12;11
115;13;01
116;13;02
117;13;03
118;13;04
119;13;05
120;13;06
121;13;07
122;13;08
123;14;01
124;14;02
125;14;03
126;14;04
127;14;05
128;14;06
129;14;07
130;14;08
131;14;09
132;14;10
133;15;01
134;15;02
135;15;03
136;15;04
137;15;05
138;15;06
139;15;07
140;15;08
141;16;01
142;16;02
143;16;03
144;16;04
145;16;05
146;16;06
147;16;07
148;16;08
149;16;09
150;17;01
151;17;02
152;17;03
153;17;04
154;17;05
155;17;06
156;17;07
157;18;01
158;18;02
159;18;03
160;18;04
161;18;05
162;18;06
163;18;07
164;18;08
165;19;01
166;19;02
167;19;03
168;19;04
169;19;05
170;19;06
171;19;07
172;19;08
173;20;01
174;20;02
175;20;03
176;20;04
177;20;05
178;20;06
179;20;07
180;20;08
181;20;09
182;21;01
183;21;02
184;21;03
185;21;04
186;21;05
187;21;06
188;21;07
189;21;08
190;21;09
191;22;01
192;22;02
193;22;03
194;22;04
195;22;05
196;22;06
197;22;07
198;22;08
