IN1,NAM
02007,Comuna 1
02014,Comuna 2
02021,Comuna 3
02028,Comuna 4
02035,Comuna 5
02042,Comuna 6
02049,Comuna 7
02056,Comuna 8
02063,Comuna 9
02070,Comuna 10
02077,Comuna 11
02084,Comuna 12
02091,Comuna 13
02098,Comuna 14
02105,Comuna 15
06134,Cañuelas
06218,Chascomús
06260,Esteban Echeverría
06270,Ezeiza
06274,Florencio Varela
06408,Hurlingham
06410,Ituzaingó
06412,José C. Paz
06466,Lezama
06505,Magdalena
06515,Malvinas Argentinas
06568,Morón
06638,Pilar
06648,Presidente Perón
06655,Punta Indio
06760,San Miguel
06778,San Vicente
22036,12 de Octubre
22039,2 de Abril
22043,Fray Justo Santa María de Oro
30008,Colón
30015,Concordia
30088,San Salvador
30113,Villaguay
94007,Río Grande
94011,Tolhuin
94014,Ushuaia
