PROV_,NOMBPROV,DEPTO_,NOMBDEPTO
02,Capital Federal                                   ,001,Distrito Escolar I                                
02,Capital Federal                                   ,002,Distrito Escolar II                               
02,Capital Federal                                   ,003,Distrito Escolar III                              
02,Capital Federal                                   ,004,Distrito Escolar IV                               
02,Capital Federal                                   ,005,Distrito Escolar V                                
02,Capital Federal                                   ,006,Distrito Escolar VI                               
02,Capital Federal                                   ,007,Distrito Escolar VII                              
02,Capital Federal                                   ,008,Distrito Escolar VIII                             
02,Capital Federal                                   ,009,Distrito Escolar IX                               
02,Capital Federal                                   ,010,Distrito Escolar I                                
02,Capital Federal                                   ,011,Distrito Escolar XI                               
02,Capital Federal                                   ,012,Distrito Escolar XII                              
02,Capital Federal                                   ,013,Distrito Escolar XIII                             
02,Capital Federal                                   ,014,Distrito Escolar XIV                              
02,Capital Federal                                   ,015,Distrito Escolar XV                               
02,Capital Federal                                   ,016,Distrito Escolar XVI                              
02,Capital Federal                                   ,017,Distrito Escolar XVII                             
02,Capital Federal                                   ,018,Distrito Escolar XVIII                            
02,Capital Federal                                   ,019,Distrito Escolar XIX                              
02,Capital Federal                                   ,020,Distrito Escolar XX                               
02,Capital Federal                                   ,021,Distrito Escolar XXI                              
06,Buenos Aires                                      ,133,Cañuelas                                          
06,Buenos Aires                                      ,217,Chascomus                                         
06,Buenos Aires                                      ,259,Esteban Echeverria                                
06,Buenos Aires                                      ,273,Florencio Varela                                  
06,Buenos Aires                                      ,378,Gnral.Sarmiento                                   
06,Buenos Aires                                      ,504,Magdalena                                         
06,Buenos Aires                                      ,567,Morón                                             
06,Buenos Aires                                      ,637,Pilar                                             
06,Buenos Aires                                      ,777,San Vicente                                       
22,Chaco                                             ,035,12 de Octubre                                     
22,Chaco                                             ,042,Fray Justo Sta.Ma. De Oro                         
30,Entre Ríos                                        ,007,Colón                                             
30,Entre Ríos                                        ,014,Concordia                                         
30,Entre Ríos                                        ,112,Villaguay                                         
94,Tierra del Fuego                                  ,007,Río Grande                                        
94,Tierra del Fuego                                  ,014,Ushuaia                                           
